"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Year","Updated.On","Time","ActiveOrInactive"
8057178,"HT288882",2011-05-10,"001XX W LAKE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",113,1,42,32,"11",2011,"02/10/2018 03:50:01 PM",14:25:00,"Inactive"
8057555,"HT289123",2011-05-10,"063XX S DAN RYAN LOCAL OB","0460","BATTERY","SIMPLE","CTA TRAIN","false","false",722,7,20,68,"08B",2011,"02/10/2018 03:50:01 PM",15:00:00,"Inactive"
8059372,"HT291097",2011-05-10,"011XX W SHERIDAN RD","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",2433,24,49,77,"06",2011,"02/10/2018 03:50:01 PM",15:00:00,"Inactive"
8057223,"HT288948",2011-05-10,"056XX W CORCORAN PL","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1512,15,29,25,"11",2011,"02/10/2018 03:50:01 PM",15:22:00,"Inactive"
8057446,"HT289155",2011-05-10,"063XX S DR MARTIN LUTHER KING JR DR","0460","BATTERY","SIMPLE","CTA BUS","true","false",312,3,20,69,"08B",2011,"02/10/2018 03:50:01 PM",15:30:00,"Inactive"
8057295,"HT289117",2011-05-10,"009XX W FULLERTON AVE","0560","ASSAULT","SIMPLE","CTA TRAIN","true","false",1812,18,43,7,"08A",2011,"02/10/2018 03:50:01 PM",16:00:00,"Inactive"
8057547,"HT289144",2011-05-10,"0000X W 79TH ST","051A","ASSAULT","AGGRAVATED: HANDGUN","CTA BUS STOP","false","true",623,6,6,44,"04A",2011,"02/10/2018 03:50:01 PM",16:35:00,"Inactive"
8057517,"HT289261",2011-05-10,"018XX W CERMAK RD","0320","ROBBERY","STRONGARM - NO WEAPON","CTA BUS STOP","true","false",1034,10,25,31,"03",2011,"02/10/2018 03:50:01 PM",17:15:00,"Inactive"
8057456,"HT289318",2011-05-10,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA TRAIN","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",18:35:00,"Inactive"
8057707,"HT289355",2011-05-10,"058XX S DR MARTIN LUTHER KING JR DR","1345","CRIMINAL DAMAGE","TO CITY OF CHICAGO PROPERTY","CTA BUS","false","false",234,2,20,40,"14",2011,"02/10/2018 03:50:01 PM",19:01:00,"Inactive"
8057533,"HT289425",2011-05-10,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",19:15:00,"Inactive"
8057552,"HT289388",2011-05-10,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA TRAIN","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",19:30:00,"Inactive"
8057618,"HT289479",2011-05-10,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",19:45:00,"Inactive"
8057621,"HT289489",2011-05-10,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",20:30:00,"Inactive"
8057913,"HT289648",2011-05-10,"007XX S CICERO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","CTA PLATFORM","false","true",1533,15,24,25,"08B",2011,"02/10/2018 03:50:01 PM",22:20:00,"Inactive"
